,file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
462,3324312224_16,0,0,0,0,0,0,0,0,0
463,3328312328_98,0,1,1,0,1,0,0,0,1
464,3416422326_33,0,1,1,1,1,0,0,0,1
465,3528312326_41,0,1,1,0,1,0,0,0,1
466,3524412226_85,0,1,1,0,1,0,0,0,1
467,3326322324_62,0,1,1,0,1,0,0,0,1
468,3514312224_13,0,1,1,0,0,1,0,1,1
469,3524322228_72,0,1,1,0,1,1,0,1,1
470,3324422328_36,0,1,1,0,1,0,0,0,1
471,3418312226_22,0,1,1,0,0,1,0,0,1
472,3418322324_32,0,1,0,0,0,0,0,0,1
473,3526412226_43,0,1,1,1,1,0,0,0,1
474,3518422324_27,0,1,1,1,0,1,0,0,1
475,3526322328_66,0,1,1,1,1,0,0,0,1
476,3518322228_90,0,1,1,0,1,0,0,1,1
477,3314312324_37,0,1,1,0,1,0,0,1,1
478,3318312328_00,0,1,0,1,0,1,0,0,0
479,3518312228_50,0,1,1,1,0,1,0,0,0
480,3328412226_42,0,0,0,0,1,0,0,0,1
481,3316312326_38,0,1,1,1,0,1,0,0,0
482,3526312228_58,0,1,0,1,0,1,0,0,0
483,3528312224_98,0,1,1,1,1,0,0,1,1
484,3526422226_38,0,1,0,1,1,0,0,0,1
485,3326412224_89,0,1,1,0,1,0,0,0,1
486,3326412324_85,0,1,1,0,0,1,0,0,0
487,3414412224_20,0,1,1,0,0,1,0,0,0
488,3418412326_82,0,1,1,0,1,0,0,1,1
489,3324312228_50,0,1,1,0,1,0,0,1,1
490,3326312326_80,0,1,1,0,1,0,0,0,1
491,3528422326_26,0,1,0,1,1,1,0,1,1
492,3518312326_98,0,1,1,1,1,1,0,1,1
493,3318422224_14,0,1,0,1,1,0,0,1,1
494,3324422224_24,0,0,0,0,1,0,0,0,1
495,3314322328_91,0,1,1,0,1,0,0,0,1
496,3518412224_60,0,1,1,1,1,1,0,0,1
497,3516322224_96,0,1,0,1,1,1,0,0,0
498,3426412328_73,0,1,1,1,1,0,0,0,1
499,3516422224_06,0,1,1,1,1,0,0,1,1
500,3414412228_54,0,1,1,0,1,0,0,0,1
501,3326412228_24,0,1,1,0,1,0,0,1,1
502,3428412328_74,0,1,1,0,1,0,0,0,1
503,3418322326_11,0,1,0,0,1,1,0,0,0
504,3526322224_94,0,1,1,1,1,0,0,1,1
505,3416312228_58,0,1,1,0,1,0,0,0,1
506,3314412226_77,0,1,1,0,1,0,0,0,1
507,3314312224_00,0,1,1,0,1,0,0,0,1
508,3316312328_47,0,1,1,0,1,0,0,0,1
